timestamp,faceRotaion-x,faceRotaion-y,faceRotaion-z,faceRotaion-w,facePosition-x,facePosition-y,facePosition-z,deviceRotation-x,deviceRotation-y,deviceRotation-z,deviceRotation-w,devicePosition-x,devicePosition-y,devicePosition-z,rightEyePotision-x,rightEyePotision-y,rightEyePotision-z,leftEyePotision-x,leftEyePotision-y,leftEyePotision-z,rightEyeLookAtPosition-x,rightEyeLookAtPosition-y,rightEyeLookAtPosition-z,leftEyeLookAtPosition-x,leftEyeLookAtPosition-y,leftEyeLookAtPosition-z,rightEyeLookAtPoint-x,rightEyeLookAtPoint-y,leftEyeLookAtPoint-x,leftEyeLookAtPoint-y,centerEyeLookAtPoint-x,centerEyeLookAtPoint-y,rightEyeBlink,leftEyeBlink,rightEyeDistance,leftEyeDistance,operationType,operationPoint-x,operationPoint-y
2020111917073203500,0.0012294113,-0.013819386,-0.020279013,0.9996981,-0.005460416,-0.031670436,-0.29393163,0.07331264,-0.012742468,0.005286311,0.99721354,0.0,0.0,0.0,-0.03787779,-0.0022670664,-0.2662057,0.027882889,-0.0046337545,-0.26428133,0.07740686,-0.02149731,1.7303767,-0.014898419,-0.018263673,1.735215,-39.17745209,804.62951660,450.13134766,785.57824707,210.05467224,109.35473633,2.9988767e-06,3.0027718e-06,0.26889652,0.26578856,none,0.00000000,0.00000000
2020111917073203600,-0.00012061598,-0.013337319,-0.019745013,0.99971604,-0.005509808,-0.03204395,-0.2941127,0.0730878,-0.013116363,0.0054196212,0.9972245,0.0,0.0,0.0,-0.03792936,-0.0025994051,-0.26643306,0.027835649,-0.0048931018,-0.26456934,0.07713248,-0.016856052,1.7302041,-0.015127502,-0.0137088485,1.7349503,-39.92768478,808.53887939,449.28485107,790.04003906,209.27502441,108.22061157,2.75989e-06,2.7634749e-06,0.26913187,0.26607463,none,0.00000000,0.00000000
2020111917073203700,-0.0014522821,-0.012868704,-0.019081699,0.99973416,-0.0056506894,-0.032427277,-0.29411134,0.07277058,-0.013417677,0.005563574,0.997243,0.0,0.0,0.0,-0.038080897,-0.0029509924,-0.266478,0.027688833,-0.0051548798,-0.2646734,0.07805534,-0.012220869,1.7301261,-0.014136994,-0.009185458,1.7348855,-39.98579025,812.26312256,449.30242920,794.44799805,208.50747681,106.48019409,2.5399488e-06,2.5432482e-06,0.26920137,0.26616773,none,0.00000000,0.00000000
2020111917073203700,-0.0020835826,-0.012903075,-0.01833389,0.99974656,-0.005777402,-0.032720745,-0.29390427,0.0723868,-0.013596329,0.0058366773,0.9972669,0.0,0.0,0.0,-0.038252376,-0.0032570586,-0.2663101,0.027520461,-0.005361315,-0.2645,0.077801056,-0.009355411,1.7303107,-0.014368037,-0.0064478707,1.7350609,-42.09044647,813.66168213,447.40969849,796.62530518,207.67079163,104.12256622,2.337535e-06,2.3405717e-06,0.26906303,0.26598188,none,0.00000000,0.00000000
2020111917073203800,-0.0009673382,-0.012920697,-0.018215846,0.99975014,-0.006022421,-0.032232173,-0.29367885,0.073067576,-0.013519765,0.0055427705,0.99722,0.0,0.0,0.0,-0.038507286,-0.002838647,-0.26602155,0.027265979,-0.004929507,-0.26421118,0.07603656,-0.01284027,1.7306707,-0.016158717,-0.009962964,1.7353108,-47.26799393,812.46557617,442.47100830,795.56176758,206.33352661,101.75048065,2.1512521e-06,2.1540468e-06,0.2688091,0.26566008,none,0.00000000,0.00000000
2020111917073203900,-0.00011392607,-0.013237942,-0.01836445,0.9997438,-0.0061055315,-0.032185666,-0.29342857,0.072918445,-0.013525324,0.005492727,0.997231,0.0,0.0,0.0,-0.038600754,-0.0028302167,-0.26574302,0.027170714,-0.004942255,-0.26389238,0.07330604,-0.01641756,1.7310779,-0.018917665,-0.013522283,1.7355584,-52.31449890,806.91650391,437.65716553,789.86071777,204.59580994,99.85944366,1.9798144e-06,1.9823865e-06,0.2685468,0.2653335,none,0.00000000,0.00000000
2020111917073204000,0.0016354639,-0.0134402765,-0.018580526,0.9997357,-0.0061571826,-0.03186388,-0.2932427,0.07320468,-0.013537682,0.0054178215,0.9972104,0.0,0.0,0.0,-0.038654096,-0.0025928393,-0.2654699,0.027115677,-0.004736772,-0.26359585,0.07039394,-0.023381904,1.7314467,-0.02186672,-0.020465123,1.7357422,-57.23004150,798.38897705,432.95281982,781.12353516,202.32968140,99.20835114,1.822039e-06,1.8244062e-06,0.26828182,0.2650292,none,0.00000000,0.00000000
2020111917073204100,0.0030991817,-0.01349737,-0.018620877,0.9997308,-0.006222119,-0.031273697,-0.29319194,0.07414917,-0.013590343,0.0052834284,0.9971406,0.0,0.0,0.0,-0.0387225,-0.0020826645,-0.2653391,0.027046865,-0.00423483,-0.26346025,0.06890882,-0.029198699,1.731579,-0.023370253,-0.026292155,1.7357827,-60.11548996,794.48010254,430.16516113,777.19122314,199.76219177,99.35984039,1.6768371e-06,1.6790158e-06,0.2681578,0.26487878,none,0.00000000,0.00000000
2020111917073204100,0.0043627615,-0.013101715,-0.018243456,0.99973834,-0.0062784217,-0.030422913,-0.29339305,0.07601866,-0.013896438,0.0053582946,0.99699515,0.0,0.0,0.0,-0.038781174,-0.0013282206,-0.26544234,0.02699126,-0.003433017,-0.26361766,0.0693595,-0.03352952,1.7313726,-0.022882283,-0.030707473,1.7355746,-59.94769669,795.39270020,430.29565430,778.52203369,197.31578064,99.83350372,1.5432066e-06,1.5452117e-06,0.26826364,0.26501808,none,0.00000000,0.00000000
2020111917073204200,0.0026059893,-0.012348921,-0.017455129,0.9997679,-0.0065726778,-0.030873634,-0.2936694,0.07615351,-0.014076169,0.0055430294,0.9969814,0.0,0.0,0.0,-0.03907656,-0.0017310232,-0.26576996,0.026701804,-0.0037284363,-0.26404095,0.07084562,-0.026906176,1.7310488,-0.02129281,-0.02421352,1.7352786,-60.39126587,801.65216064,429.73278809,785.59558105,195.04772949,99.85321808,1.4202254e-06,1.4220708e-06,0.26863292,0.26541385,none,0.00000000,0.00000000
2020111917073204300,-0.00023811066,-0.011477141,-0.016632168,0.99979573,-0.0068627857,-0.031924102,-0.29378054,0.075138055,-0.014167052,0.0058929278,0.9970551,0.0,0.0,0.0,-0.039361615,-0.002674792,-0.2659871,0.026422895,-0.004558714,-0.264368,0.07161094,-0.017855186,1.7308745,-0.020403944,-0.015295023,1.7350552,-61.85155487,806.22283936,428.28878784,791.00524902,192.82189941,99.50219727,1.3070448e-06,1.3087431e-06,0.26889706,0.26572427,none,0.00000000,0.00000000
2020111917073204400,-0.0014289954,-0.01071873,-0.016325774,0.9998083,-0.0070965798,-0.032172233,-0.29392308,0.075138055,-0.014167052,0.0058929278,0.9970551,0.0,0.0,0.0,-0.039569292,-0.0028762762,-0.26614824,0.026218744,-0.004717976,-0.26462716,0.07366571,-0.01374471,1.7306143,-0.018303892,-0.011232183,1.7348669,-60.71862793,810.63970947,429.32730103,795.73382568,190.78446960,99.11247253,1.2028838e-06,1.2044468e-06,0.26908898,0.2659647,none,0.00000000,0.00000000
2020111917073204500,-0.0032632498,-0.0099067595,-0.016116627,0.99981564,-0.0074691544,-0.033400487,-0.29385704,0.073266074,-0.01377258,0.0058334717,0.9972003,0.0,0.0,0.0,-0.03990618,-0.0040155984,-0.2661345,0.025885008,-0.005827155,-0.26471755,0.075892314,-0.0071761375,1.7305082,-0.016090136,-0.0046793655,1.7348418,-60.66476059,809.31060791,429.34597778,794.60467529,188.75270081,99.25226593,1.1070236e-06,1.108462e-06,0.26913974,0.26604393,none,0.00000000,0.00000000
2020111917073204600,-0.0023117708,-0.009878194,-0.016226681,0.9998169,-0.00756566,-0.03362284,-0.2935295,0.07273584,-0.013651316,0.005768492,0.99724114,0.0,0.0,0.0,-0.039996065,-0.0042843055,-0.26575017,0.025794806,-0.0061118044,-0.2643384,0.07437371,-0.0111640375,1.7309656,-0.01765232,-0.008654483,1.7351882,-63.97780991,800.24853516,426.31689453,785.42791748,186.60368347,100.48278809,1.0188028e-06,1.0201264e-06,0.26877722,0.26566428,none,0.00000000,0.00000000
2020111917073204600,-0.0013152203,-0.01002753,-0.016396616,0.99981445,-0.0075582266,-0.033786662,-0.2932661,0.07229839,-0.0136250695,0.0057172813,0.99727356,0.0,0.0,0.0,-0.03998849,-0.0044931285,-0.26543915,0.025801323,-0.0063444767,-0.2640092,0.07199767,-0.015028544,1.7313954,-0.020074211,-0.0124934465,1.735455,-67.56533051,792.01098633,422.95721436,777.01483154,184.61312866,102.43286133,9.376124e-07,9.3883045e-07,0.268472,0.26534283,none,0.00000000,0.00000000
